id,title,company,location,country,category,contract_type,contract_time,salary_min,salary_max,date_posted,description,role_category,search_query,url
de_5722773106,Digital Transformation Manager in den Bereich KI und Prozessautomatisierung (m/w/d),auteega Gmbh,"Almenhof, Mannheim",Germany,Unknown,,,,,2026-05-08,"Unser Kunde ist einer der führenden Gesundheitsdienstleister in Europa und entsprechend international aufgestellt. Es erwarten Sie vielfältige Herausforderungen und flache Hierarchien in einem renommierten Großunternehmen. Für den Standort in Mannheim sucht unser Kunde zum nächstmöglichen Zeitpunkt im Rahmen der Festanstellung einen qualifizierten: Digital Transformation Manager in den Bereich KI und Prozessautomatisierung (m/w/d) Job-ID: CF-00007228 Ort: Mannheim Ihre Hauptaufgaben: Planung, S…",AI_Consulting,Transformation Manager KI,https://www.adzuna.de/details/5722773106?utm_medium=api&utm_source=c5693b3d
de_5705703387,Practice Lead Cyber Security (m/w/d),Randstad Digital Germany AG,"München, München (Kreis)",Germany,Unknown,,,,,2026-04-21,"Standorte: München, Nürnberg, Düsseldorf, Stuttgart, Frankfurt, Hamburg Randstad Digital Germany AG: Seit 1995 sind wir Experten für digitale Innovationen . Als globales Technologieunternehmen der Randstad Gruppe bieten wir maßgeschneiderte Softwareentwicklung und IT-Consulting in den Bereichen Advisory, Customer Experience, Cloud, Digital & Product Engineering sowie Data & Analytics auf höchstem Niveau. Randstad Digital setzt sich für Diversität & Inklusion am Arbeitsplatz ein: Vielfalt unters…",AI_Consulting,AI Business Development Sales,https://www.adzuna.de/land/ad/5705703387?se=2Gt06rpK8RGTdPGqJhi0KQ&utm_medium=api&utm_source=c5693b3d&v=3710766DEC3797861528FC4BC8EC727182B0403A
de_5713618713,Digital Technology & Innovation Manager (m/w/d),Heinzl Brandschutztechnik GmbH,"Wangen im Allgäu, Ravensburg (Kreis)",Germany,Unknown,,,,,2026-04-29,"Du bist technikbegeistert, digital vernetzt und willst die Zukunft mitgestalten? Dann werde Teil von Heinzl Brandschutz , dem innovativen Familienunternehmen für Brandschutzlösungen in Süddeutschland. Wir suchen einen Allrounder mit IT-Verstand und KI-Affinität , der unsere Digitalisierung vorantreibt und dabei zwischen Technik, Kommunikation & Automatisierung vermittelt. Deine Aufgaben: KI & Automatisierung Weiterentwicklung & Betreuung der Wianco KI „EMMA“ Einführung smarter Workflows für HR,…",AI_Consulting,Digital Innovation Manager,https://www.adzuna.de/land/ad/5713618713?se=TN_V7LpK8RGHtt54NDzxZA&utm_medium=api&utm_source=c5693b3d&v=66474217F69E335D4971FBB7FE269E8331650516
de_5543934910,(Senior) Digital Innovation Manager (m/w/d),August-Wilhelm Scheer Institut für digitale Produkte und Prozesse gGmbH,"Clausthal-Zellerfeld, Goslar (Kreis)",Germany,Unknown,,full_time,,,2025-12-16,Deine neue Herausforderung Du willst die neusten Technologien im Bereich Digital GreenTech zum Fliegen verhelfen? Du identifizierst dich mit unternehmerischem Denken und Handeln und möchtest dieses Skill- und Mindset intern wie extern an Kunden und Startups vermitteln? Dann bewirb dich bei uns als (Senior) Digital Innovation Manager (m/w/d). Deine Mission Projektleitung und operative Verantwortung für Innovations- und Strategieprojekte mit Startups und Industriepartnern Als Coach in unserem Ink…,AI_Consulting,Digital Innovation Manager,https://www.adzuna.de/details/5543934910?utm_medium=api&utm_source=c5693b3d
de_5716226269,Sales & Digital Innovations Manager (w/m/d),Fielmann Group,Deutschland,Germany,Unknown,,full_time,,,2026-05-01,"Im Bereich Sales & Digital Innovation treiben wir voran, wie Fielmann wächst – im Store genauso wie im E-Commerce. Gemeinsam mit Produkt, Tech, Marketing und Vertrieb identifizieren wir neue Geschäftspotenziale und machen daraus Lösungen, die wirklich etwas bewegen. Unser Fokus: Ideen nicht nur denken, sondern umsetzen. Vom ersten Impuls bis zum MVP – und darüber hinaus. So schaffen wir messbaren Impact für unsere Kundinnen und Kunden und für unser Geschäft. Das erwartet dich bei uns. Deine Auf…",AI_Consulting,Digital Innovation Manager,https://www.adzuna.de/details/5716226269?utm_medium=api&utm_source=c5693b3d
de_5697660347,Senior Manager Digital Innovation Communication (f/m/d),Heidelberg Materials,Deutschland,Germany,Unknown,,full_time,,,2026-04-12,"Are you passionate about driving impactful communication around digital transformation, AI, and business strategy ? Do you want to help position Heidelberg Materials as a digital and AI pioneer in the building materials industry, engaging internal and external stakeholders with clear, impactful messaging? Then join our Group Communication & Investor Relations Department in the role of Senior Manager Digital Innovation Communication (f/m/d). You will report to the Head of Communications and be l…",AI_Consulting,Digital Innovation Manager,https://www.adzuna.de/details/5697660347?utm_medium=api&utm_source=c5693b3d
de_5382255683,"(Sr) Manager, Digital Innovation & Customer Engagement (f/m/d)",Biogen,"München, München (Kreis)",Germany,Unknown,,,,,2025-09-04,"For our offices in Munich (hybrid working model) we are recruiting for (Sr) Manager, Digital Innovation & Customer Engagement (f/m/d) About This Role: The (Sr) Manager, Digital Innovation & Customer Engagement will be responsible for developing and executing data-driven and customer-centric strategies that enhance engagement across digital and traditional channels. The incumbent will lead the design, piloting, and scaling of innovative projects and solutions leveraging new technologies that dri…",AI_Consulting,Digital Innovation Manager,https://www.adzuna.de/details/5382255683?utm_medium=api&utm_source=c5693b3d
de_5330273077,HAUSTECHNIKER (m/w/d),BRAWO RE Property Management Braunschweig,"Magdeburg, Sachsen-Anhalt",Germany,Unknown,,full_time,,,2025-07-31,"HAUSTECHNIKER (m/w/d) Standort: Magdeburg Du willst Technik, Teamgeist und Verantwortung? Dann komm zu uns! WER WIR SIND Die BRAWO RE Property Management Braunschweig GmbH ist Teil der BRAWO GROUP – einem der großen Immobilienplayer in der Region Braunschweig-Wolfsburg mit über 600.000 m² vermieteter Fläche. Wir verbinden Tradition mit digitaler Innovation, um Immobilien heute so zu managen, wie sie es morgen brauchen. Unser Team ist modern, kreativ und voller Tatendrang – wir suchen Menschen, …",AI_Consulting,Digital Innovation Manager,https://www.adzuna.de/details/5330273077?utm_medium=api&utm_source=c5693b3d
de_5719844199,Strategic Enterprise Success Manager,Jobgether,Deutschland,Germany,Unknown,,full_time,,,2026-05-05,"This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Strategic Enterprise Success Manager in Germany. This role offers the opportunity to work closely with high-value enterprise clients, driving long-term success through strategic guidance and data-driven insights. You will manage a portfolio of key accounts, ensuring strong adoption, retention, and expansion across advanced digital solutions. Acting as a trusted advisor, you will engage with both …",AI_Consulting,Digital Innovation Manager,https://www.adzuna.de/details/5719844199?utm_medium=api&utm_source=c5693b3d
de_5537798089,Senior Sales Manager,Channel Factory,"Hamburg, Deutschland",Germany,Sonstige/Allgemeine Stellen,,full_time,,,2025-12-11,"Sales Manager, Germany Channel Factory provides intelligent marketing solutions for the next generation of contextual safety, suitability, and performance for brands and agencies. Our platform helps marketers implement, automate, and scale their marketing programs across the world’s largest video library, YouTube, and emerging growth channels. We sit at the intersection of marketing and suitability and have a mission of enabling the world’s top brands to consciously connect with the right audie…",AI_Consulting,Digital Innovation Manager,https://www.adzuna.de/details/5537798089?utm_medium=api&utm_source=c5693b3d
